artist_id,name,type,album_name,descripcion,album_year,album_format,album_id,uri,albums,album_format_2,gender
3,Josh Wink,artist,Untitled,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1992,varios,3142158,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Nervous Build-Up,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1993,varios,388859,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Liquid Summer,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1994,"12""",129764,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,Vinyl,electronic
3,Josh Wink,artist,How's The Music,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1994,varios,75964,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Thoughts Of A Tranced Love,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1994,varios,86636,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Meditation Will Manifest,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1994,varios,86666,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Don't Laugh,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,86619,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,"United DJs Of America, Vol. 3: Philadelphia, PA","electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,86633,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Hypnotizin',"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,86649,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,I'm Ready,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,86703,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Don't Laugh But Lick It,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,62199,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Higher State Of Consciousness,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,45817,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,Stairway To Headphones,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1995,varios,3607505,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
3,Josh Wink,artist,EP,"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1996,CD,4712479,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,CD,electronic
3,Josh Wink,artist,Basketball Heroes vs. Stairway To Headphones (Remixes),"electronic music dj, label owner, producer, and remixer, born april 20, 1970 in philadelphia, pennsylvania, usa. formed [l=ovum recordings] as an independent label in october 1994 with former partner [a=king britt].",1996,varios,1786205,https://www.discogs.com/artist/3-Josh-Wink,https://api.discogs.com/artists/3/releases,undefined,electronic
