artist_id,name,type,album_name,gender,album_year,album_id,album_format,album_format_2
9,Care Company,vendor,Presents Zeitmaschine Remixed,no description,2005,310471,varios,undefined
11,DJ Dozia,artist,Shape Shifter,house,1997,37345,"12""",Vinyl
11,DJ Dozia,artist,Pop Culture #1,house,1998,315660,varios,undefined
11,DJ Dozia,artist,Untitled / Pop Culture,house,1999,515159,"12"", Ltd, Promo, Smplr, W/Lbl",Vinyl
11,DJ Dozia,artist,The Ritual,house,2001,315661,varios,undefined
11,DJ Dozia,artist,Speaking In Love,house,2004,348080,"12""",Vinyl
11,DJ Dozia,artist,Oh A E Ya (The Chant),house,2005,830823,varios,undefined
11,DJ Dozia,artist,Pop Culture #1,house,2015,28863580,"3xFile, MP3, 320",
11,DJ Dozia,artist,I'm Lonely,house,1997,110413,varios,undefined
11,DJ Dozia,artist,Horny House,house,1998,1700949,CD,CD
11,DJ Dozia,artist,Pornstar,house,1998,143173,varios,undefined
